iter	Passed	Remaining
0	122	122297
1	123	61689
2	124	41324
3	125	31130
4	125	25002
5	126	20919
6	126	17996
7	128	15914
8	129	14252
9	130	12889
10	130	11765
11	131	10826
12	132	10034
13	133	9425
14	135	8878
15	136	8405
16	137	7947
17	138	7534
18	139	7181
19	139	6848
20	140	6568
21	141	6311
22	142	6061
23	143	5829
24	143	5615
25	145	5440
26	146	5275
27	147	5113
28	148	4957
29	148	4813
30	149	4680
31	150	4552
32	151	4447
33	152	4337
34	153	4231
35	154	4130
36	155	4034
37	155	3942
38	156	3860
39	157	3787
40	158	3718
41	160	3652
42	160	3578
43	161	3506
44	162	3446
45	163	3384
46	163	3322
47	164	3262
48	167	3258
49	169	3216
50	170	3164
51	171	3127
52	172	3079
53	172	3029
54	173	2982
55	174	2936
56	175	2898
57	175	2854
58	176	2812
59	182	2853
60	183	2825
61	185	2807
62	186	2773
63	187	2735
64	187	2699
65	188	2663
66	188	2629
67	189	2591
68	189	2562
69	190	2533
70	191	2503
71	191	2473
72	192	2444
73	193	2418
74	193	2390
75	194	2365
76	195	2339
77	196	2318
78	197	2303
79	198	2280
80	198	2256
81	199	2235
82	200	2212
83	200	2189
84	201	2165
85	202	2150
86	202	2129
87	203	2110
88	204	2090
89	204	2072
90	205	2053
91	206	2035
92	206	2018
93	207	2000
94	211	2018
95	213	2006
96	213	1989
97	214	1973
98	216	1969
99	217	1954
100	217	1939
101	218	1921
102	218	1906
103	219	1890
104	220	1876
105	220	1862
106	222	1857
107	223	1846
108	224	1832
109	224	1818
110	225	1804
111	225	1790
112	226	1777
113	227	1764
114	228	1757
115	228	1744
116	229	1732
117	230	1720
118	230	1707
119	231	1695
120	231	1684
121	232	1672
122	232	1659
123	233	1649
124	234	1641
125	235	1632
126	236	1623
127	237	1617
128	238	1608
129	240	1610
130	241	1601
131	242	1591
132	242	1581
133	243	1572
134	243	1562
135	244	1553
136	245	1546
137	246	1537
138	246	1528
139	247	1519
140	247	1509
141	248	1500
142	248	1491
143	249	1482
144	250	1474
145	250	1466
146	251	1459
147	252	1451
148	252	1444
149	253	1437
150	254	1428
151	255	1423
152	255	1415
153	256	1408
154	256	1400
155	257	1392
156	258	1385
157	258	1379
158	259	1372
159	260	1365
160	260	1358
161	261	1351
162	262	1345
163	262	1338
164	263	1332
165	265	1334
166	266	1329
167	267	1323
168	267	1317
169	268	1311
170	269	1304
171	269	1298
172	270	1294
173	271	1288
174	272	1282
175	272	1277
176	273	1271
177	274	1265
178	274	1260
179	275	1254
180	275	1247
181	276	1243
182	277	1238
183	278	1233
184	278	1227
185	279	1222
186	279	1216
187	280	1211
188	281	1205
189	281	1200
190	282	1197
191	283	1192
192	283	1187
193	284	1181
194	285	1177
195	285	1171
196	286	1166
197	286	1161
198	287	1156
199	287	1151
200	288	1147
201	289	1142
202	289	1137
203	290	1132
204	290	1127
205	291	1123
206	291	1118
207	292	1113
208	293	1109
209	293	1104
210	294	1099
211	294	1095
212	295	1091
213	295	1086
214	296	1082
215	297	1078
216	297	1074
217	298	1069
218	298	1065
219	299	1061
220	299	1057
221	300	1053
222	301	1050
223	302	1048
224	303	1045
225	304	1041
226	304	1037
227	305	1034
228	306	1030
229	306	1026
230	307	1023
231	308	1021
232	309	1017
233	309	1014
234	310	1010
235	310	1006
236	311	1002
237	312	999
238	312	995
239	313	992
240	314	989
241	314	985
242	315	982
243	315	978
244	316	975
245	317	971
246	317	968
247	318	965
248	318	961
249	319	958
250	320	955
251	320	952
252	321	948
253	321	945
254	322	941
255	322	938
256	323	935
257	324	932
258	324	929
259	325	925
260	325	922
261	326	919
262	328	920
263	329	917
264	329	915
265	331	914
266	333	914
267	333	911
268	334	909
269	335	906
270	335	903
271	338	905
272	339	903
273	340	901
274	341	899
275	342	897
276	343	895
277	344	893
278	345	893
279	346	891
280	347	890
281	348	888
282	349	886
283	354	893
284	355	892
285	358	895
286	359	893
287	360	891
288	361	889
289	362	886
290	363	884
291	363	882
292	364	879
293	364	876
294	365	873
295	366	870
296	366	867
297	367	865
298	367	862
299	368	859
300	369	857
301	369	854
302	370	852
303	370	849
304	371	846
305	372	843
306	372	841
307	373	838
308	373	835
309	374	833
310	374	830
311	375	828
312	376	825
313	376	823
314	377	820
315	377	818
316	378	815
317	379	812
318	379	810
319	380	807
320	380	805
321	381	802
322	381	800
323	382	798
324	383	795
325	383	793
326	384	791
327	384	788
328	385	786
329	386	783
330	386	781
331	387	778
332	387	776
333	388	774
334	389	772
335	389	770
336	390	767
337	390	765
338	391	763
339	392	761
340	392	758
341	393	756
342	394	754
343	394	752
344	395	750
345	395	748
346	396	746
347	397	743
348	397	741
349	398	739
350	398	737
351	399	735
352	400	734
353	401	733
354	402	731
355	403	729
356	403	727
357	404	725
358	404	722
359	405	720
360	406	719
361	407	717
362	407	715
363	408	713
364	408	711
365	409	709
366	410	707
367	410	705
368	411	703
369	411	701
370	412	699
371	413	697
372	413	695
373	414	693
374	415	691
375	415	689
376	416	688
377	416	686
378	417	684
379	418	682
380	419	680
381	419	679
382	420	677
383	421	675
384	421	673
385	422	671
386	422	669
387	423	668
388	424	667
389	426	666
390	428	667
391	429	665
392	429	664
393	431	663
394	432	661
395	432	660
396	433	658
397	434	656
398	434	654
399	435	653
400	435	651
401	436	649
402	437	648
403	438	646
404	438	644
405	439	642
406	439	641
407	440	639
408	441	637
409	441	635
410	442	633
411	444	634
412	445	632
413	445	631
414	446	629
415	447	627
416	447	626
417	448	624
418	449	623
419	450	622
420	451	620
421	452	619
422	452	617
423	453	615
424	454	614
425	454	612
426	455	611
427	456	610
428	457	608
429	458	607
430	459	606
431	460	604
432	460	603
433	461	602
434	462	600
435	463	599
436	463	597
437	464	595
438	464	593
439	465	592
440	465	590
441	466	588
442	467	587
443	467	585
444	468	584
445	469	582
446	469	581
447	470	579
448	470	577
449	471	576
450	471	574
451	472	572
452	473	571
453	473	569
454	474	568
455	475	566
456	475	565
457	476	563
458	476	562
459	477	560
460	478	558
461	478	557
462	479	555
463	480	554
464	480	552
465	481	551
466	481	549
467	482	548
468	482	546
469	483	545
470	484	543
471	484	542
472	485	540
473	486	539
474	487	538
475	487	536
476	488	535
477	488	533
478	489	532
479	490	530
480	490	529
481	491	527
482	491	526
483	492	525
484	493	523
485	493	522
486	494	520
487	494	519
488	495	517
489	496	516
490	496	515
491	497	513
492	498	512
493	498	511
494	499	509
495	500	508
496	500	506
497	501	505
498	502	504
499	502	502
500	503	501
501	504	500
502	504	498
503	505	497
504	506	496
505	506	494
506	507	493
507	508	492
508	508	490
509	509	489
510	510	488
511	510	487
512	511	485
513	512	484
514	513	483
515	514	482
516	514	480
517	515	479
518	515	478
519	516	476
520	517	475
521	517	474
522	518	472
523	519	471
524	519	470
525	520	468
526	520	467
527	521	466
528	522	465
529	523	464
530	524	462
531	524	461
532	525	460
533	525	458
534	526	457
535	527	456
536	527	455
537	528	454
538	530	453
539	531	452
540	532	451
541	533	450
542	533	449
543	534	448
544	535	447
545	536	446
546	537	444
547	537	443
548	538	442
549	538	440
550	539	439
551	539	438
552	540	437
553	541	435
554	542	434
555	542	433
556	543	432
557	544	431
558	544	429
559	545	428
560	546	427
561	547	426
562	549	426
563	550	425
564	551	424
565	555	425
566	556	424
567	556	423
568	557	422
569	558	421
570	559	420
571	559	418
572	560	417
573	560	416
574	561	414
